Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_raw,tfall_raw,ok_clipped,tfall_clipped
-3.0925112,9.280248,-41.012997,-16.246193,-2.9311543,-18.44896,59.461956,1,6.0,1,6.0,1,6.0
-18.867212,4.5749297,-68.03184,-4.344783,-18.375298,-78.29328,146.32512,1,6.0,0,2.846,1,6.0
-15.028669,-18.865385,-81.24923,-17.05036,-12.238902,-92.48673,173.73596,1,6.0,0,2.3040000000000003,1,6.0
6.8249764,8.768791,-32.747337,-0.95332146,17.800985,-44.8955,77.64284,1,6.0,1,6.0,1,6.0
5.8875804,-19.36033,-80.48926,-2.8584156,-13.497211,-80.81828,161.30754,1,6.0,0,3.696,1,6.0
4.6154046,10.31804,-42.231213,-3.0505023,14.082093,-93.25763,135.48885,1,6.0,0,2.516,1,6.0
-4.652898,0.5103489,-39.77608,3.4520142,12.885487,-22.67354,62.449623,1,6.0,1,6.0,1,6.0
19.888397,17.16417,-3.7576907,-15.092374,-4.34825,-17.87734,21.63503,1,6.0,1,6.0,1,6.0
19.233414,-17.3567,-92.773476,17.350756,-1.3286592,-60.166447,152.93993,0,1.068,0,1.032,0,1.372
7.4216795,13.652691,-50.002716,7.362018,12.9600725,-70.59236,120.59508,0,1.678,1,6.0,1,6.0
6.018371,-17.3324,-25.590252,12.951254,7.227453,-72.28791,97.87816,0,1.748,1,6.0,1,6.0
7.5378695,-6.227601,-82.27733,15.872049,13.47775,-63.90286,146.18019,0,1.244,0,3.108,1,6.0
-4.443143,-2.7880507,-61.193325,3.3328018,10.303864,-42.309235,103.50256,1,6.0,1,6.0,1,6.0
-14.59614,18.642483,-93.71045,-18.391272,7.6508594,-47.21799,140.92844,0,1.842,0,1.486,0,2.168
8.859533,2.4892738,-27.411913,8.459473,16.518965,-64.46508,91.87699,0,2.106,1,6.0,1,6.0
1.0141729,-9.645416,-91.22321,2.7610343,12.912285,-36.2579,127.48111,1,6.0,0,3.798,1,6.0
-7.590325,-10.332972,-60.49083,13.038289,-12.837493,-32.423256,92.914085,1,6.0,1,6.0,1,6.0
-0.56658566,15.524733,-12.647737,1.2864189,9.928971,-44.172104,56.81984,1,6.0,1,6.0,1,6.0
15.579514,-10.965223,-52.769966,12.529764,-16.532747,-61.270508,114.040474,0,1.308,1,6.0,1,6.0
17.36174,-15.017812,-8.737806,19.880411,-2.9657505,-37.609722,46.347527,0,1.322,1,6.0,1,6.0
-5.6881924,-8.46677,-23.408289,-5.9778075,-4.1299243,-40.809723,64.21801,1,6.0,1,6.0,1,6.0
2.8611932,3.4449227,-8.467604,-13.1591425,-11.913277,-65.96761,74.43522,1,6.0,1,6.0,1,6.0
-7.1252246,2.16362,-87.2597,-4.333008,17.516205,-69.6799,156.9396,1,6.0,0,2.1,1,6.0
3.7720013,12.388431,-92.64371,10.122,-16.208933,-45.425114,138.06882,0,1.97,0,2.902,1,6.0
-6.483551,2.419038,-92.96738,-2.4308426,-19.804024,-38.765827,131.7332,1,6.0,0,2.5180000000000002,1,6.0
-4.33524,-8.463151,-13.114571,3.5352044,-7.083168,-38.920155,52.034725,1,6.0,1,6.0,1,6.0
15.610974,-3.4841464,-36.593002,-14.905662,19.62979,-61.716198,98.309204,1,6.0,1,6.0,1,6.0
-10.913696,12.724839,-50.34283,9.04494,-9.412195,-43.422607,93.76544,1,6.0,1,6.0,1,6.0
4.927486,5.0602584,-83.64566,-8.796704,13.227771,-1.4230365,85.068695,1,6.0,0,4.996,1,6.0
-16.639387,18.363106,-32.626656,-12.375298,-13.075455,-57.197548,89.8242,1,6.0,0,4.292,1,6.0
13.305766,-5.2238235,-68.19826,14.518,3.4551342,-15.698528,83.89679,0,1.484,1,6.0,1,6.0
11.4839325,2.1044605,-28.912014,2.5765128,18.336374,-91.86763,120.77965,0,1.858,1,6.0,1,6.0
-10.425222,3.756968,-53.964466,-0.6200423,8.660529,-12.477175,66.44164,1,6.0,1,6.0,1,6.0
15.059369,13.931648,-49.253014,15.9529505,19.22032,-5.8293843,55.082397,0,1.284,1,6.0,1,6.0
-17.657278,-14.181059,-21.033426,-16.559502,2.982266,-73.8136,94.84702,1,6.0,0,5.0120000000000005,1,6.0
-6.5553174,-3.7395866,-90.72546,7.846178,19.333387,-98.789856,189.51532,1,6.0,0,1.502,1,6.0
-13.988821,16.39836,-42.12415,-6.880708,13.481881,-51.699158,93.8233,1,6.0,0,4.734,1,6.0
-1.9864253,-18.277325,-80.276505,-12.98361,11.129929,-81.728775,162.00528,1,6.0,0,2.664,1,6.0
11.852971,12.908251,-19.186325,6.991946,15.539596,-2.8368745,22.0232,0,3.334,1,6.0,1,6.0
-10.774312,-3.3846385,-51.115395,-5.487122,5.2596607,-10.230157,61.34555,1,6.0,1,6.0,1,6.0
-17.919147,13.19216,-1.1304667,-6.804167,-5.745418,-3.9335115,5.063978,1,6.0,1,6.0,1,6.0
-3.8179264,-19.601818,-81.705666,17.74711,1.1312976,-39.613033,121.318695,0,2.57,1,6.0,1,6.0
-12.059478,-5.398154,-3.698086,-12.028067,-10.939984,-48.483963,52.18205,1,6.0,1,6.0,1,6.0
-16.369879,-16.8548,-19.908297,0.4869463,11.101765,-16.728214,36.636513,1,6.0,1,6.0,1,6.0
3.2132955,6.1045833,-51.87395,-19.039473,-13.19686,-34.765102,86.63905,1,6.0,1,6.0,1,6.0
-8.052155,-9.046036,-18.646593,-13.465277,3.087918,-75.14423,93.790825,1,6.0,0,5.91,1,6.0
6.879795,8.106083,-39.71511,15.336749,1.4359572,-6.5713964,46.286507,1,6.0,1,6.0,1,6.0
-12.019382,17.752058,-34.487892,11.569901,6.876112,-56.030056,90.517944,1,6.0,1,6.0,1,6.0
17.684525,-14.927316,-8.630923,2.2734196,10.419464,-22.644377,31.2753,1,6.0,1,6.0,1,6.0
-5.395593,14.591132,-93.47296,-11.101864,-15.606885,-49.906204,143.37917,1,6.0,0,2.806,1,6.0
-15.780189,-17.621433,-16.501179,2.3099034,4.9976387,-81.664375,98.16556,1,6.0,1,6.0,1,6.0
5.164326,-4.76918,-61.818523,-19.51414,-3.4417646,-70.40732,132.22585,1,6.0,1,6.0,1,6.0
17.086182,-2.8090374,-67.44544,8.519745,4.5680575,-42.55892,110.004364,0,1.3820000000000001,1,6.0,1,6.0
-2.384914,-0.44601813,-0.5973229,8.670027,7.759382,-85.69979,86.29711,1,6.0,1,6.0,1,6.0
18.18362,19.058493,-21.880949,5.841801,3.4191835,-98.62621,120.507164,0,1.3,1,6.0,1,6.0
-0.0041674525,11.027648,-51.446487,4.4535475,9.315443,-56.610878,108.057365,1,6.0,1,6.0,1,6.0
-2.990855,-7.6457057,-57.73716,-17.051342,0.8010103,-23.780283,81.51744,1,6.0,1,6.0,1,6.0
4.808538,-9.206529,-12.247109,-10.143762,-1.4852877,-38.584274,50.831383,1,6.0,1,6.0,1,6.0
19.80386,14.524808,-91.31851,2.975122,-8.529245,-67.585365,158.90387,0,1.21,0,2.5180000000000002,1,6.0
17.957747,15.252287,-29.158125,-4.232529,-10.833933,-28.275906,57.43403,1,6.0,1,6.0,1,6.0
-1.5981945,0.4282602,-21.084538,19.68093,7.812084,-51.54854,72.63307,1,6.0,1,6.0,1,6.0
10.309154,-6.228171,-20.080362,16.949814,7.828454,-0.049864773,20.130228,1,6.0,1,6.0,1,6.0
-0.10309218,19.796694,-67.771324,-13.919683,-12.180699,-22.396835,90.16816,1,6.0,1,6.0,1,6.0
1.1724864,-7.362258,-20.336082,3.5984237,18.873497,-16.936855,37.272938,1,6.0,1,6.0,1,6.0
11.431428,-12.6915045,-77.467155,7.848604,6.846031,-74.04511,151.51227,0,1.3780000000000001,1,6.0,1,6.0
-3.413766,15.203925,-63.769203,-14.538263,1.248645,-84.7705,148.5397,1,6.0,0,2.49,1,6.0
9.379343,12.493416,-58.255188,-7.4961743,13.647014,-80.06961,138.3248,1,6.0,0,3.892,1,6.0
8.445715,6.715576,-45.859,8.636714,-0.53918266,-56.773502,102.63251,0,2.092,1,6.0,1,6.0
17.282387,18.336546,-88.73863,16.044323,-0.9622052,-48.785088,137.52371,0,1.074,0,1.27,0,1.616
-15.402695,17.028584,-59.30522,-6.330294,-9.669024,-80.53906,139.84428,1,6.0,0,2.778,1,6.0
9.1606045,9.92994,-99.96993,-10.442251,-13.7545805,-22.005524,121.97546,1,6.0,0,1.542,1,6.0
